Feature1,Feature2,Target
2.067788388,0.258133225,1
0.993994008,-0.609144512,1
-0.690315436,0.749920622,0
1.023582376,0.52900308,0
0.700747058,-0.496724018,1
0.955062941,0.371061016,0
-0.051023466,0.009786883,1
2.111668915,0.29146667,1
1.173019389,-0.101473076,0
-0.57794707,1.277303087,0
0.909597624,0.036308672,0
2.077734242,0.629147857,1
-0.962290964,0.827233623,0
0.947003591,-0.290186106,1
0.383209976,-0.309917567,1
-0.150287574,0.317294355,1
0.080361123,0.502094351,1
1.200125191,-0.527865179,1
-0.922386507,0.465574823,0
0.512394856,-0.033492128,1
0.660176708,0.354198518,0
0.919878779,-0.59377197,1
0.185474117,-0.214731663,1
-0.963168026,0.294003942,0
1.426699651,-0.099509079,1
0.976457825,-0.449373622,1
1.75471374,-0.261642816,1
1.168186512,-0.672740552,1
0.27774654,-0.607361346,1
0.672725148,0.666333709,0
0.002033057,0.376967935,1
0.314327033,-0.243225802,1
0.931967471,0.173111872,0
-0.409800131,0.597131669,0
-0.476941175,1.019581533,0
0.838882632,-0.071573271,0
1.033284866,-0.525249709,1
0.326116205,-0.577021121,1
0.85947284,1.340802524,0
1.551221655,-0.528586441,1
0.101201434,0.540632498,0
-0.09049836,0.749596127,1
2.028777695,0.151478964,1
0.580198862,1.033262412,0
0.192071709,-0.121336928,1
-1.462223951,0.07106442,0
1.906780301,0.506260992,1
0.695029196,-0.599016144,1
1.001086685,-0.70844148,1
1.110090768,-0.339190684,1
0.710397938,-0.460291185,1
2.042904712,-0.090700237,1
0.456990999,-0.563120595,1
0.087652349,0.095485193,1
1.332034469,-0.563468501,1
0.360617086,0.455561453,0
1.579667988,0.251685059,1
0.597723548,0.688549389,0
-0.805950346,1.010476996,0
0.271306147,0.832912579,0
1.899341837,0.044502462,1
1.527602184,-0.735397326,1
1.639754245,-0.27615701,1
-0.037638919,0.923068888,0
0.176032053,0.076067456,1
2.148428077,0.031181293,1
0.045108737,0.218221448,1
0.724493125,0.363354865,0
-0.664756351,0.643436386,0
-0.801725803,0.999480546,0
0.861801719,0.844010631,0
1.727336522,0.145706011,1
1.704197081,0.113234553,1
-0.288162751,0.584628604,1
0.327757328,0.535062913,1
0.180931746,1.191129451,0
1.090762095,-0.099058367,0
0.152277456,0.337631885,1
-0.873448576,0.616061304,0
1.000549409,0.326569244,0
-0.384538159,0.632005344,0
-0.26699789,0.155658861,1
-0.083148995,0.434163485,1
0.682670623,0.418051246,0
1.230411746,-0.810815948,1
0.164731882,1.030431426,0
-1.176887533,0.440652126,0
0.222984654,0.280817027,1
1.840889076,0.239281488,1
0.07449561,-0.282217468,1
-0.024120207,0.304116449,1
0.148422149,0.027105547,1
-1.031412466,0.380071744,0
-0.943866831,0.600079978,0
1.040815444,-0.442568799,1
1.497320582,-0.390044387,1
0.262257211,0.096298493,1
1.835052164,-0.103412045,1
0.212307547,0.256849647,1
-0.214058501,1.330767658,0
0.072106929,-0.279012748,1
0.510387152,0.89046706,0
0.859342773,-0.430765764,1
1.231053667,0.281765888,0
2.095878754,-0.124457184,1
-0.048682973,0.848149869,0
-0.069962169,0.732770866,0
0.921461668,0.537777084,0
-0.072085224,0.445207272,1
0.691680107,-0.670960694,1
1.996373123,-0.06278932,1
-0.029574955,-0.143949774,1
-1.180878055,0.287093293,0
-0.809065601,0.981521134,0
0.792498292,0.754776331,0
0.570914979,0.418499076,0
0.959679592,-0.614855395,1
0.683776074,0.718920684,0
0.268748478,-0.539059384,1
0.829946449,0.810127371,0
0.602300611,1.060983364,0
1.089894854,-0.258045447,0
1.215326407,-0.108394387,1
0.363525509,1.059532137,0
0.87411916,0.790742277,0
-0.343226394,-0.150687513,1
-0.963432794,0.169237163,0
0.126423731,0.257156827,1
-1.266957539,0.122578452,0
1.809965093,0.521589108,1
-0.228845381,0.864591676,0
1.037129806,0.052176264,0
1.53870046,-0.054829392,1
1.843084808,0.119603176,1
0.182608949,0.360479486,1
-0.783997593,0.898602849,0
-0.927885151,0.846814488,0
-0.869158721,0.860426049,0
1.432638854,-0.684939943,1
0.585717127,0.931606566,0
1.756197562,0.520718884,1
1.591918487,0.03892334,1
0.910273683,1.120535967,0
0.043718854,-0.324789656,1
-0.20580902,0.603084516,0
0.79754503,-0.671824307,1
0.132794235,0.301552639,1
-0.088050173,0.956326244,0
-0.910303685,-0.140268609,0
1.273308231,-0.369064664,1
1.832106199,0.641188872,1
-0.073000565,1.023659911,0
0.097588494,-0.365188283,1
1.15143737,-0.378877952,1
1.006185066,0.586229182,0
-1.059323432,0.265637226,0
0.437426846,-0.184497995,1
0.24070156,0.771780065,0
1.826147629,-0.005370137,1
-0.698250117,0.518885048,0
0.033997867,1.002559399,0
-0.365756211,0.467188778,1
2.072602655,0.840845991,1
1.282207264,-0.3852855,1
0.294091067,-0.106090673,1
-0.684048777,0.498068262,0
0.569431434,-0.166176935,1
1.240374044,-0.338748665,1
0.296825382,-0.070172696,1
-1.002931362,0.137418862,0
0.772972777,0.39039837,0
0.199129842,1.169529783,0
0.272673306,1.177485462,0
1.300638002,-0.454605085,1
1.564634514,0.44804985,1
-0.040331609,1.026401238,0
1.629887767,0.244857792,1
1.143086991,-0.604189955,1
0.396320491,-0.39621675,1
-0.626659052,1.014021465,0
1.721056871,0.646281907,1
-0.604186387,0.703327277,0
0.057670035,1.272818815,0
0.454523688,-0.401695138,1
-0.670639988,0.612491482,0
0.328273511,1.160241489,0
0.510588023,1.016852601,0
0.789854793,0.132560638,0
0.500701227,0.528972528,0
0.961569333,0.454935146,0
1.80512166,0.544117663,1
0.030248855,1.07059265,0
1.73386192,0.379948472,1
-0.881264897,0.33091525,0
0.645125709,0.010547475,0
-0.567454227,1.065282884,0
0.275296535,-0.175275933,1
-0.633857944,0.464939873,0
-1.056542614,0.685542647,0
0.228879606,1.134429351,0
-0.053634126,0.322480786,1
